0,1,2,3
"Sl.
No.",Pre-Qualification Criteria,"Documents to be submitted
In compliance with Pre-
Qualification Criteria","Bidders
Response"
1.,Signing of Pre-Contract Integrity Pact,"The bidder should submit signed
Pre Contract integrity pact on Non
Judicial Stamp Paper of Rs.500/-
or more (as per respective state
Stamp Act) as per Appendix-F.",
2.,"The bidder (including OEM and
OSD/OSO, if any) should either be
Class-I or Class-II local supplier as
defined in Public Procurement
(Preference to Make in India) Revised
Order (English) dated 16/09/2020.","Certificate of local content to be
submitted as per Annexure-5 as
applicable.",
3.,"The bidder should provide
confirmation that any person/
Partnership/ LLP/ Company including
any subsidiary or holding company/
proprietorship connected to bidder
directly or indirectly has not
participated in the bid process.","The bidder should submit letter of
confirmation on the Company’s
letter head to this effect.",
4.,"The Company operating should be
legally compliant company and can be:
a. A partnership firm or a Limited
Liability Partnership duly
registered under the Limited
Liability Partnership Act, 2008.
(OR)
b. Company duly registered in India
as per Indian Companies Act, 1956
or Indian Companies Act, 2013.
(OR)
c. Proprietorship firm duly
registered under the applicable
shops and commercial
Establishments Act and should be
compliant to all the applicable
laws.","Copy of Certificate of FIRM/LLP
registration.
(OR)
Copy of Certificate of
Incorporation and Certificate of
Commencement of business in
case of Public Limited Company or
Certificate of Incorporation in case
of Private Limited Company,
issued by the Registrar of
Companies.
(OR)
Copy of Certificate of registration
under and Certificate of
Commencement of business in",
,,"case of Public Limited Company or
Certificate of Incorporation in case
of Private Limited Company,
issued by the Registrar of
Companies.
For (c )
Documentary proof for confirming
registration of Proprietorship firm
(e.g. Copy of Certificate of
registration under shops and
commercial Establishments Act.,
GST etc.)",
5.,"The bidder should have implemented
and maintaining the proposed
Location Intelligence and Geospatial
Analysis platform in any Scheduled
Commercial Banks in India.","The bidder should submit
Purchase Order Copies/
Agreements/ Work order, along
with Satisfactory completion
certificate/ reference letter, issued
by clients.",
6.,"Bidder to provide undertaking that
none of the proprietor/ partners/
directors of the bidder(s) is/are
relatives of any member of the Bank’s
Board of directors.","Letter of Undertaking in
company’s letter head.",
7.,"Any bidder (including OEM and
OSD/OSO, if any) from a country which
shares a land border with India will be
eligible to bid, only if the bidder
(including OEM and OSD/OSO) are
registered with the Competent
Authority. Bidder (entity) from a
country which shares a land border
with India means:
a. An entity incorporated, established
or registered in such a country; or
b. A subsidiary of an entity
incorporated, established or
registered in such a country; or
c. An entity substantially controlled
through entities incorporated,
established or registered in such a
country; or
d. An entity whose beneficial owner is
situated in such a country; or
e. An Indian (or other) agent of such an
entity; or
f. A natural person who is a citizen of
such a country; or
g. A consortium or joint venture where
any member of the consortium or joint
venture falls under any of the above.","A declaration stating ""We have
read the clause regarding
restrictions on procurement from
a bidder of a country which shares
a land border with India. We
further certify that we and our
OEM are not from such a country
or if from such a country, has been
registered with Competent
Authority. We hereby certify that
we and our OEM fulfills all
requirements in this regard and
are eligible to be considered"" to be
submitted in Company’s letter
head.
[Where applicable, evidence of
valid registration by the
Competent Authority shall be
attached.]",
8.,"Bidder should be the Original
Equipment Manufacturer (OEM)/
Original Software Owner (OSO)/
Original Software Developer (OSD) of
Solution.
(OR)
An authorized dealer/distributor of
the proposed Solution","If the applicant is OSD/OSO, an
Undertaking Letter has to submit
in this effect.
(OR)
If the bidder is an authorized
dealer/ distributor, an
authorization letter from their
OEM and OSO/ OSD to
deal/market their product in India
and it should be valid for entire
contract period from the date of
submission of the bid.",
9.,"The bidder should have an average
annual turnover of Rs.30 Crores
during last 3 financial years (i.e., 2020-
21, 2021-22 & 2022-23) from Indian
operations. This must be the
individual company turnover and not
of any group of companies.","Bidder should submit Audited
Balance Sheet copies for last 3
financial years i.e., 2020-21, 2021-
22 & 2022-23 along with
certificate from the Company's
Chartered Accountant to this effect
with Unique Document
Identification Number.",
10.,"The bidder should have positive Net
Worth as on 31/03/2023 and also
should have not been eroded more
than 30% in the last three financial
years ending on 31/03/2023.","The bidder should submit
certificate from the Company's
Chartered Accountant with UDIN
to this effect.",
11.,"Bidders should not be under
debarment/blacklist period for breach
of contract/fraud/corrupt practices by
any Scheduled Commercial Bank/
Public Sector Undertaking / State or
Central Government or their agencies/
departments on the date of submission
of bid for this RFP.","The bidder should submit self-
declaration on the Company’s
letter head to this effect.",
12.,"The bidder should ensure support
office in Bengaluru for 24x7 supports.","The Bidder should submit the
details viz., address, phone no.,
email id and contact person Name
& Mobile no. etc.",
13.,"Authorization Certificate - Whether
the Bid is authenticated by authorized
person.","Bidder to submit a copy of the
Power of Attorney or the Board
Resolution and KYC documents
evidencing the authority delegated
to the authorized signatory.",
